[2026-01-20 15:55:22] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:22] Student: 2200868427, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:33] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:50] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:50] Student: 2200868427, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:54] Student: 2200868427, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:56:03] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:56:05] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:58:50] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:58:52] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:58:59] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:59:01] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 16:01:39] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 16:01:43] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 16:03:19] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 16:03:24] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 16:03:33] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-27 04:14:57] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-27 04:16:25] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-27 04:18:34] Student: 2203857101, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-27 04:18:38] Student: 2203857101, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
